game_id,season,week,home,away,neutral,fbs_both,total_pts,mkt_total,mkt_total_open,mkt_spread,proj_py_h,proj_ypa_h,proj_ry_h,proj_yrc_h,proj_py_a,proj_ypa_a,proj_ry_a,proj_yrc_a,tempo_h,tempo_a,exp_plays,proj_total_yards,off_ypa_h,def_ypa_h,off_ypc_h,def_ypc_h,off_ypa_a,def_ypa_a,off_ypc_a,def_ypc_a,prate_h,prate_a,pre_w_h,pre_w_a
401532439,2023,11,Buffalo,Ohio,False,True,30.0,45.0,44.25,9.5,212.76002915145625,6.279280790710139,120.68016871648801,3.347946054362378,243.31775629325912,7.664539912543958,187.82447502771106,4.919061174665787,71.28934693900882,68.56844778453569,69.92889736177226,764.5824291889145,5.769811414701396,7.361124627860015,3.7238168086108896,4.72161371391128,7.15741089265405,7.48104583727104,3.994786513917596,3.447402154288824,0.4845331072789849,0.4539740542862518,0.6428571428571429,0.6666666666666666
401532442,2023,11,Kent State,Bowling Green,False,True,68.0,41.5,41.0,10.5,184.7021519195908,7.3876198326223195,141.36914174558734,3.653732703006887,221.86171988684552,7.52616925231999,165.68948703854525,4.842657831341315,65.09087365979849,62.29568855252647,63.69328110616248,713.622500590569,6.945137663124917,8.0910046405823,3.3308815203434947,4.498041202463419,6.3941903523807095,7.312025721016022,4.128213596113289,4.206098048764184,0.39253085026590684,0.46282282922022067,0.6428571428571429,0.6666666666666666
401532441,2023,11,Miami (OH),Akron,False,True,19.0,37.5,42.75,-17.0,227.9326939493479,9.254701601632235,184.4021523089736,4.720609330861723,199.4588452282729,5.836456788690349,82.37507553159823,2.7907277244931543,60.61279610443861,66.7713312083612,63.69206365639991,694.1687670181926,7.719240175738835,6.791437563090828,3.915612864365216,3.4796937170066573,5.9074709211580965,8.241417150314078,3.0752346043806305,4.622746930075284,0.3866863863426468,0.5365605090741044,0.6666666666666666,0.6428571428571429
401532440,2023,11,Toledo,Eastern Michigan,False,True,72.0,45.5,46.75,-19.5,228.60427751964116,8.479433174465642,260.77513788613237,6.906548592680365,162.84049458099977,5.503636655310882,119.95248147910257,3.4145585939571603,67.55129128458094,61.88374309060826,64.71751718759461,772.172391465876,7.819670567635466,6.823209486498021,5.257382799048572,3.8873794419082888,5.544662035582928,7.45405160582668,3.3680570644014827,5.037247347949135,0.4165773786372925,0.45718377630498347,0.6666666666666666,0.6666666666666666
401525546,2023,11,Louisville,Virginia,False,True,55.0,49.5,51.5,-20.0,242.13678370134184,8.723396919049463,196.8650871285784,4.858604713525723,229.9225192822069,7.290104645325841,94.66436776217613,2.5768104646553156,67.03366526894783,69.5183731598434,68.27601921439562,763.5887578743033,9.203893044976116,6.366521894187267,4.774140331207626,2.6634038336209915,7.871283522538817,6.515205231711805,3.7097723506137967,3.9022778758967522,0.40654342711057284,0.46193360220528235,0.6666666666666666,0.6428571428571429
401531911,2023,11,Louisiana,Southern Miss,False,True,65.0,52.5,53.5,-8.5,270.1932903229663,9.192227533005301,217.03788235814645,5.69772438037658,226.44578746806388,7.536499535781923,155.05472103558512,4.1415127819113895,65.27190317649368,69.69949214650279,67.48569766149824,868.7316811847618,7.519122623366599,7.862854355047595,4.75417053724286,3.788474771754339,6.588756777029106,8.403643661194291,4.191760023969204,4.595454661821495,0.43555404589909286,0.44522836741158056,0.6666666666666666,0.6428571428571429
401531437,2023,11,SMU,North Texas,False,True,66.0,67.5,67.75,-20.5,327.8129084063652,9.143334006812191,230.9781498425893,6.190219229110549,253.13334723202814,7.000853469226753,173.3714744793789,4.684630156244217,73.67359667889255,72.6585447442836,73.16607071158808,985.2958799603615,7.989619581099826,6.385064046723404,4.374609052985128,3.7994555715765728,7.537021607089146,7.8666986519226025,4.727763509354575,5.425860049158479,0.4900176617506554,0.49418395606899446,0.6666666666666666,0.6428571428571429
401540139,2023,11,Arkansas-Pine Bluff,Grambling,False,False,57.0,51.5,,15.5,140.55230757087702,4.893486189259824,118.5863835516514,3.3085107227336477,284.3562744389224,9.209296036321694,191.26779454571874,5.677613139837503,64.41279739806106,64.7175130864926,64.56515524227683,734.7627601071696,4.436560867877315,10.124185664478695,2.7756880157903936,5.661732208993836,6.252883874101524,7.5820379376425375,3.845194197603317,4.5704998732723885,0.444858008845073,0.47823150389849167,0.5833333333333334,0.6428571428571429
401532618,2023,11,UNLV,Wyoming,False,True,48.0,48.25,51.5,-2.5,195.48163520264845,6.938340094855947,166.6559977242956,4.5201015289555215,215.32911112368987,8.275105291808597,178.53833027895797,4.575234051173266,68.20439257565155,61.88378550744729,65.04408904154943,756.0050743295919,7.997171969438842,8.446544244674254,4.168404867867457,3.994143305920876,6.7345486954862785,5.963938811676481,4.392294767235739,4.157958022777935,0.43315421399633003,0.40005654833197446,0.6666666666666666,0.6666666666666666
401520386,2023,11,Kentucky,Alabama,False,True,70.0,46.25,49.0,10.5,187.17497925365362,6.086754735702354,120.61663504175172,3.804028778420462,241.06263644065947,9.639554290435644,141.79058468069175,3.7860147811903704,58.88502886795128,66.03256668353053,62.458797775740905,690.6448354167566,7.9162407683708995,6.714489557232209,5.152265955975147,2.9603602684108767,9.868655333716264,5.285436240132425,4.903876715608822,2.8310486073031456,0.49234368379826643,0.40038640970246553,0.6666666666666666,0.6666666666666666
